22,3202,ns3::TcpNewReno,0.05,100,49160,3450208,7110113
22,3202,ns3::TcpNewReno,0.05,100,49160,3450640,7110545
10,7973,ns3::TcpNewReno,0.05,100,40358,3453615,10090944
10,7973,ns3::TcpNewReno,0.05,100,40358,3454047,10091376
15,8956,ns3::TcpNewReno,0.05,100,26752,1161787,12716939
15,8956,ns3::TcpNewReno,0.05,100,26752,1162219,12717371
4,2844,ns3::TcpNewReno,0.05,100,34403,1684120,15495273
4,2844,ns3::TcpNewReno,0.05,100,34403,1684552,15495705
12,3203,ns3::TcpNewReno,0.05,100,65372,3640540,15926345
12,3203,ns3::TcpNewReno,0.05,100,65372,3640972,15926777
22,7975,ns3::TcpNewReno,0.05,100,2939,1060182,18943387
22,7975,ns3::TcpNewReno,0.05,100,2939,1060614,18943819
23,7686,ns3::TcpNewReno,0.05,100,184070,6640336,19426227
23,7686,ns3::TcpNewReno,0.05,100,184070,6640768,19426659
12,671,ns3::TcpNewReno,0.05,100,139115,2812759,19757312
12,671,ns3::TcpNewReno,0.05,100,139115,2813191,19757744
23,4457,ns3::TcpNewReno,0.05,100,69020,4550634,20050390
23,4457,ns3::TcpNewReno,0.05,100,69020,4551066,20050822
6,9576,ns3::TcpNewReno,0.05,100,194989,10432552,22655050
6,9576,ns3::TcpNewReno,0.05,100,194989,10432984,22655482
8,7976,ns3::TcpNewReno,0.05,100,69315,2187926,25437679
8,7976,ns3::TcpNewReno,0.05,100,69315,2188358,25438111
12,1873,ns3::TcpNewReno,0.05,100,154016,5852903,27213607
12,1873,ns3::TcpNewReno,0.05,100,154016,5853335,27214039
2,672,ns3::TcpNewReno,0.05,100,786154,8478948,35560700
2,672,ns3::TcpNewReno,0.05,100,786154,8479380,35561132
5,978,ns3::TcpNewReno,0.05,100,1446783,20283925,36632951
5,978,ns3::TcpNewReno,0.05,100,1446783,20284357,36633383
17,9272,ns3::TcpNewReno,0.05,100,3225430,29899905,36982028
17,9272,ns3::TcpNewReno,0.05,100,3225430,29900337,36982460
14,9577,ns3::TcpNewReno,0.05,100,20132,1108827,37247580
14,9577,ns3::TcpNewReno,0.05,100,20132,1109259,37248012
20,5783,ns3::TcpNewReno,0.05,100,28980,2955120,40899959
20,5783,ns3::TcpNewReno,0.05,100,28980,2955552,40900391
18,8957,ns3::TcpNewReno,0.05,100,25003,2265690,42595594
18,8957,ns3::TcpNewReno,0.05,100,25003,2266122,42596026
12,9273,ns3::TcpNewReno,0.05,100,1572,865532,47288388
12,9273,ns3::TcpNewReno,0.05,100,1572,865964,47288820
5,6099,ns3::TcpNewReno,0.05,100,914651,37326585,50522368
5,6099,ns3::TcpNewReno,0.05,100,914651,37327017,50522800
16,6421,ns3::TcpNewReno,0.05,100,3944,9064328,53265296
16,6421,ns3::TcpNewReno,0.05,100,3944,9064760,53265728
14,3549,ns3::TcpNewReno,0.05,100,38177,2232736,55233036
14,3549,ns3::TcpNewReno,0.05,100,38177,2233168,55233468
0,7688,ns3::TcpNewReno,0.05,100,756151,8787873,59784308
