9215,11309925,62291240
9215,11309925,92507350
9215,11309925,92580302
30044,9774158,55310235
9215,11309925,92653285
30044,9774158,81306955
30044,9774158,81379475
30044,9774158,81458519
40571,7319032,40576706
40571,7319032,59984168
40571,7319032,60057151
40571,7319032,60130134
9237,1096979,6801260
9237,1096979,9590637
9237,1096979,9663157
9237,1096979,9736140
19680,1329993,8130365
19680,1329993,11479790
19680,1329993,11552773
19680,1329993,11625756
30094,7842,1001078308
30094,7842,1001130795
30094,7842,1001183282
30094,7842,1001235769
30117,3876381,21909343
30117,3876381,32109097
30117,3876381,32182080
30117,3876381,32291699
9313,2197,78308
9313,2197,85635
9313,2197,92962
9313,2197,100289
9319,1698412,10191904
9319,1698412,14506201
9319,1698412,14579184
9319,1698412,14652167
30148,1121736,21609877
30148,1121736,21769771
30148,1121736,21842754
30148,1121736,30730614
9326,25747287,149964964
9326,25747287,210470027
9326,25747287,210542547
9326,25747287,218864241
9332,1714028,10149149
9332,1714028,14617526
9332,1714028,14690046
9332,1714028,14763029
40650,1676701,10090750
40650,1676701,14387841
40650,1676701,14460361
40650,1676701,14533344
30171,2967785,17074389
30171,2967785,24848008
30171,2967785,24920991
30171,2967785,24993974
40678,912071,5802952
40678,912071,8125763
40678,912071,8196894
40678,912071,8270803
19765,1576531,9468412
19765,1576531,13563398
19765,1576531,13635918
19765,1576531,13708901
40693,1903485,11816406
40693,1903485,16150256
40693,1903485,16223239
40693,1903485,16884008
40696,1400687,8596193
40696,1400687,12087860
40696,1400687,12160843
40696,1400687,12233363
40704,7396850,41149487
40704,7396850,60990041
40704,7396850,61062098
40704,7396850,61135081
30226,3894054,22128805
30226,3894054,32265426
30226,3894054,32337483
30226,3894054,32410466
30243,2975108,17066981
30243,2975108,24862593
30243,2975108,24935113
30243,2975108,25008096
40740,6824822,38005132
40740,6824822,56177064
40740,6824822,56249584
40740,6824822,56323030
40767,2530675,14773243
40767,2530675,21307337
40767,2530675,21379394
40767,2530675,21452377
9431,5479,1001078308
9431,5479,1001111891
9431,5479,1001145474
9431,5479,1001179057
40778,524,19705
40778,524,25760
40778,524,31384
40778,524,37008
40750,4879,1001078308
40750,4879,1001107091
40750,4879,1001135874
40750,4879,1001164657
40789,1999251,11840093
40789,1999251,17016891
40789,1999251,17088948
40789,1999251,17161931
30282,8434245,46953668
30282,8434245,69643533
30282,8434245,69715590
30282,8434245,69788573
40812,4285509,24353663
40812,4285509,35691613
40812,4285509,35763670
40812,4285509,35836653
9481,1666082,10002301
9481,1666082,14328010
9481,1666082,14400530
9481,1666082,14473513
40822,2844091,16388559
40822,2844091,23861837
40822,2844091,23934357
40822,2844091,24007340
9486,3328665,19126709
9486,3328665,27892210
9486,3328665,27964730
9486,3328665,28036787
40826,2840535,16456157
40826,2840535,23987569
40826,2840535,24059626
40826,2840535,24132609
30311,1044195,6854624
30311,1044195,9517725
30311,1044195,9591171
30311,1044195,9664154
40839,1666911,10093471
40839,1666911,14285245
40839,1666911,14357765
40839,1666911,14430748
40831,3572,1001078308
40831,3572,1001096635
40831,3572,1001114962
40831,3572,1001133289
9489,3461,1001078308
9489,3461,1001095747
9489,3461,1001113186
9489,3461,1001130625
40884,1797852,10681649
40884,1797852,15392201
40884,1797852,15463795
40884,1797852,15536778
30343,7029,1001078308
30343,7029,1001124292
30343,7029,1001170276
